" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Водка" ;" 3681" ;" горілка Медофф клас. 1л" ;" 2" ;" 280,00" ;" " ;" " ;" 280,00" 
" Водка" ;" 3683" ;" горілка Зубровка золота 0.5" ;" 1" ;" 83,80" ;" " ;" " ;" 83,80" 
" Водка" ;" 3764" ;" горілка Сопліца лещина 0.5" ;" 3" ;" 294,90" ;" " ;" " ;" 294,90" 
" Водка" ;" 3831" ;" горілка Первак з перцем 0.5" ;" 3" ;" 211,80" ;" " ;" " ;" 211,80" 
" Водка" ;" 3873" ;" настойка Сопліца вишня 0.5" ;" 1" ;" 103,00" ;" " ;" " ;" 103,00" 
" Водка" ;" 3982" ;" горілка сув. Люботин Гетьман 1л" ;" 2" ;" 660,00" ;" " ;" " ;" 660,00" 
" Водка" ;" 4030" ;" горілка сув. Люботин Марічка 0.7" ;" 1" ;" 288,00" ;" " ;" " ;" 288,00" 
" Водка" ;" 4091" ;" горілка Немирофф укр.з перц. 0.5" ;" 3" ;" 211,50" ;" " ;" " ;" 211,50" 
" Водка" ;" 4102" ;" горілка Немиров делікат 0.7" ;" 1" ;" 98,00" ;" " ;" " ;" 98,00" 
" Водка" ;" 4103" ;" горіла Немиров перцовка 0.7" ;" 2" ;" 196,00" ;" " ;" " ;" 196,00" 
" Водка" ;" 4166" ;" горілка Каз.Рада особлива 1л" ;" 5" ;" 700,00" ;" " ;" " ;" 700,00" 
" Водка" ;" 4233" ;" горілка Неміров штоф 0.7" ;" 3" ;" 294,00" ;" " ;" " ;" 294,00" 
" Водка" ;" 4245" ;" Горілка Др.Київська з перцем 0.5" ;" 1" ;" 70,00" ;" " ;" " ;" 70,00" 
" Водка" ;" 4309" ;" горілка Хлібна Сльоза 0.5" ;" 1" ;" 98,60" ;" " ;" " ;" 98,60" 
" Водка" ;" 4329" ;" горілка Хлебная слеза 2л" ;" 4" ;" 1 380,00" ;" " ;" " ;" 1 380,00" 
" Водка" ;" 4361" ;" настоянка Зубровка 0.2" ;" 1" ;" 40,80" ;" " ;" " ;" 40,80" 
" Водка" ;" 4482" ;" горілка Воздух 0.7" ;" 3" ;" 294,00" ;" " ;" " ;" 294,00" 
" Водка" ;" 4594" ;" горілка Пшен.мьяка Хл.пол.0.450" ;" 5" ;" 314,00" ;" " ;" " ;" 314,00" 
" Водка" ;" 4595" ;" горілка Житня мьяка Хл.пол.0.450" ;" 8" ;" 502,40" ;" " ;" " ;" 502,40" 
" Водка" ;" 4601" ;" горілка Черкаська Явора 0.5" ;" 1" ;" 136,40" ;" " ;" " ;" 136,40" 
" Водка" ;" 4615" ;" горілка Артемівська срібна 0.5" ;" 2" ;" 140,00" ;" " ;" " ;" 140,00" 
" Водка" ;" 4616" ;" горілка Журавли 0.5" ;" 3" ;" 212,40" ;" " ;" " ;" 212,40" 
" Водка" ;" 4626" ;" горілка Черкаська Таїна Сміли 0.7" ;" 1" ;" 183,00" ;" " ;" " ;" 183,00" 
" Водка" ;" 4639" ;" горілка  Absolut  Citron 0.7" ;" 1" ;" 337,00" ;" " ;" " ;" 337,00" 
" Водка" ;" 4642" ;" горілка  Absolut  Raspberri 0.7" ;" 1" ;" 337,00" ;" " ;" " ;" 337,00" 
" Водка" ;" 4645" ;" горілка Артемівська 0.25(срібна)" ;" 3" ;" 105,00" ;" " ;" " ;" 105,00" 
" Водка" ;" 4662" ;" горілка Первак (жито)0.7" ;" 2" ;" 196,00" ;" " ;" " ;" 196,00" 
" Водка" ;" 4663" ;" горілка Амеріканка 0.5" ;" 2" ;" 120,00" ;" " ;" " ;" 120,00" 
" Водка" ;" 4664" ;" горілка Неміров пшен.0.25" ;" 2" ;" 70,00" ;" " ;" " ;" 70,00" 
" Водка" ;" 4713" ;" горілка KU -KA- RE- KA 0.5" ;" 18" ;" 1 386,00" ;" " ;" " ;" 1 386,00" 
" Водка" ;" 4723" ;" горілка Немиров с перцем 1л" ;" 1" ;" 140,00" ;" " ;" " ;" 140,00" 
" Водка" ;" 4733" ;" горілка Хл.Дар пшен.0.7" ;" 1" ;" 98,00" ;" " ;" " ;" 98,00" 
" Водка" ;" 4742" ;" горілка Ріга Блек 0.5" ;" 1" ;" 148,00" ;" " ;" " ;" 148,00" 
" Кондитерские изделия" ;" 3687" ;" конф. Сонячн.віночок 1/500" ;" 3" ;" 168,30" ;" " ;" " ;" 168,30" 
" Кондитерские изделия" ;" 3688" ;" конф Стріла 1/180" ;" 5" ;" 237,50" ;" " ;" " ;" 237,50" 
" Кондитерские изделия" ;" 3689" ;" конф Трюфель с коньяком 1/200" ;" 2" ;" 98,00" ;" " ;" " ;" 98,00" 
" Кондитерские изделия" ;" 3743" ;" конф. Белочка 1/210(Харьков)" ;" 3" ;" 144,00" ;" " ;" " ;" 144,00" 
" Кондитерские изделия" ;" 3746" ;" конф.Чорний принц 1/400" ;" 5" ;" 350,00" ;" " ;" " ;" 350,00" 
" Кондитерские изделия" ;" 3798" ;" шоколад Оленка 1/90" ;" 1" ;" 16,00" ;" " ;" " ;" 16,00" 
" Кондитерские изделия" ;" 3799" ;" шоколад Чайка 1/90" ;" 1" ;" 16,00" ;" " ;" " ;" 16,00" 
" Кондитерские изделия" ;" 3820" ;" конф. Муар 1/250" ;" 5" ;" 218,50" ;" " ;" " ;" 218,50" 
" Кондитерские изделия" ;" 3821" ;" конф.Пташине молоко 1/270" ;" 1" ;" 51,00" ;" " ;" " ;" 51,00" 
" Кондитерские изделия" ;" 3866" ;" конф.Грильяж 1/270" ;" 1" ;" 50,00" ;" " ;" " ;" 50,00" 
" Кондитерские изделия" ;" 3868" ;" шокол.Олд Колекш. черн. ліс гор.1/200" ;" 10" ;" 542,00" ;" " ;" " ;" 542,00" 
" Кондитерские изделия" ;" 3870" ;" шокол.Олд Колекш.мол.минд/изюм 1/200" ;" 7" ;" 336,00" ;" " ;" " ;" 336,00" 
" Кондитерские изделия" ;" 3893" ;" Батончик Galante фунд. 1/38" ;" 1" ;" 10,30" ;" " ;" " ;" 10,30" 
" Кондитерские изделия" ;" 3941" ;" конф.Государ. фундук 1/165" ;" 4" ;" 212,00" ;" " ;" " ;" 212,00" 
" Кондитерские изделия" ;" 3942" ;" конф.Государ. фундук 1/245" ;" 2" ;" 152,80" ;" " ;" " ;" 152,80" 
" Кондитерские изделия" ;" 3943" ;" конф.Ассорті прем.1/300" ;" 4" ;" 333,20" ;" " ;" " ;" 333,20" 
" Кондитерские изделия" ;" 3944" ;" конф.вишня в шокол 1/285" ;" 1" ;" 58,60" ;" " ;" " ;" 58,60" 
" Кондитерские изделия" ;" 3946" ;" шокол.Old Collect мол.минд.1/200" ;" 5" ;" 257,00" ;" " ;" " ;" 257,00" 
" Кондитерские изделия" ;" 3986" ;" конф.конф.Сердце Клеопатры 1/235" ;" 3" ;" 170,10" ;" " ;" " ;" 170,10" 
" Кондитерские изделия" ;" 3987" ;" конф.Троянда 1/395" ;" 2" ;" 181,00" ;" " ;" " ;" 181,00" 
" Кондитерские изделия" ;" 3988" ;" конф.Ассорти Доминик 1/208(Полтава)" ;" 3" ;" 180,00" ;" " ;" " ;" 180,00" 
" Кондитерские изделия" ;" 4012" ;" конф.Усіх благ 1/255" ;" 2" ;" 124,80" ;" " ;" " ;" 124,80" 
" Кондитерские изделия" ;" 4022" ;" конф.Домиор (ром)1/250" ;" 2" ;" 140,60" ;" " ;" " ;" 140,60" 
" Кондитерские изделия" ;" 4098" ;" конф.Ассорти мол.(ПАТ) 1/200" ;" 3" ;" 180,00" ;" " ;" " ;" 180,00" 
" Кондитерские изделия" ;" 4174" ;" шокол.бат.Сороч.ярм.мол.1/50" ;" 3" ;" 23,10" ;" " ;" " ;" 23,10" 
" Кондитерские изделия" ;" 4175" ;" шокол.бат.Сороч.ярмар.черн.1/50" ;" 4" ;" 30,80" ;" " ;" " ;" 30,80" 
" Кондитерские изделия" ;" 4177" ;" шокол.Олд.кол.гір.горіх.1/100" ;" 9" ;" 225,00" ;" " ;" " ;" 225,00" 
" Кондитерские изделия" ;" 4178" ;" шокол.Олд.Колл.мол.горіх.1/100" ;" 8" ;" 200,00" ;" " ;" " ;" 200,00" 
" Кондитерские изделия" ;" 4179" ;" шокл.Олд.кол.черн.1/100" ;" 3" ;" 63,00" ;" " ;" " ;" 63,00" 
" Кондитерские изделия" ;" 4180" ;" щокол.Олд.кол.мол.1/100" ;" 1" ;" 18,70" ;" " ;" " ;" 18,70" 
" Кондитерские изделия" ;" 4215" ;" конф.Зоряний сад 1/200" ;" 3" ;" 103,50" ;" " ;" " ;" 103,50" 
" Кондитерские изделия" ;" 4368" ;" шокол.батончик б/цукру 1/38" ;" 1" ;" 12,00" ;" " ;" " ;" 12,00" 
" Кондитерские изделия" ;" 4369" ;" конф Ассорті мол.1/340" ;" 2" ;" 218,00" ;" " ;" " ;" 218,00" 
" Кондитерские изделия" ;" 4370" ;" конф.Вечір Золотий 1/180" ;" 5" ;" 320,00" ;" " ;" " ;" 320,00" 
" Кондитерские изделия" ;" 4382" ;" конф.Фрукти заспирт.1/350" ;" 7" ;" 597,10" ;" " ;" " ;" 597,10" 
" Кондитерские изделия" ;" 4401" ;" шокол.Old Collect  (вишня)1/200" ;" 4" ;" 265,60" ;" " ;" " ;" 265,60" 
" Кондитерские изделия" ;" 4402" ;" шокол.Old Collect черн./апельс.1/200" ;" 8" ;" 516,00" ;" " ;" " ;" 516,00" 
" Кондитерские изделия" ;" 4513" ;" Конфеты  Baritone вершковий смак 1/415" ;" 4" ;" 252,00" ;" " ;" " ;" 252,00" 
" Кондитерские изделия" ;" 4514" ;" Конфеты  Baritone шоколадний смак 1/415" ;" 4" ;" 252,00" ;" " ;" " ;" 252,00" 
" Кондитерские изделия" ;" 4568" ;" шоколад молочн.24% 1/90" ;" 1" ;" 18,00" ;" " ;" " ;" 18,00" 
" Кондитерские изделия" ;" 4683" ;" конф.Жорж премиум 1/450" ;" 1" ;" 153,00" ;" " ;" " ;" 153,00" 
" Кондитерские изделия" ;" 4714" ;" шокол.батон.BONBAR 1/45" ;" 6" ;" 28,80" ;" " ;" " ;" 28,80" 
" Кондитерские изделия" ;" 4715" ;" шокол.батончик ZARYAD 1/45" ;" 6" ;" 33,60" ;" " ;" " ;" 33,60" 
" Кондитерские изделия" ;" 4716" ;" конф.Труфалье ялинка 1/135" ;" 9" ;" 261,00" ;" " ;" " ;" 261,00" 
" Кондитерские изделия" ;" 4717" ;" конф.труфалье оригин.ялинка 1/124" ;" 9" ;" 240,30" ;" " ;" " ;" 240,30" 
" Кондитерские изделия" ;" 4730" ;" конф.Шедевр 1/125" ;" 2" ;" 87,20" ;" " ;" " ;" 87,20" 
" Кондитерские изделия" ;" 4738" ;" шокол.бат.Шокобар 1/50" ;" 2" ;" 12,60" ;" " ;" " ;" 12,60" 
" Кондитерские изделия" ;" 4748" ;" конф.Ріконд (вишня)1/260" ;" 1" ;" 40,00" ;" " ;" " ;" 40,00" 
" Коньяк" ;" 42" ;" коньяк Арт Контер0,7 XO" ;" 1" ;" 1 500,00" ;" " ;" " ;" 1 500,00" 
" Коньяк" ;" 486" ;" Коньяк Hennessy Paradis Extra" ;" 1" ;" 7 613,00" ;" " ;" " ;" 7 613,00" 
" Коньяк" ;" 665" ;" Арагвели Коньяк 5* 0.5" ;" 1" ;" 198,00" ;" " ;" " ;" 198,00" 
" Коньяк" ;" 681" ;" коньяк Алекс-Голд 0.5" ;" 1" ;" 219,00" ;" " ;" " ;" 219,00" 
" Коньяк" ;" 790" ;" коньяк Ужгород *** 0.5" ;" 2" ;" 250,00" ;" " ;" " ;" 250,00" 
" Коньяк" ;" 791" ;" коньяк Ужгород ***** 0.5" ;" 1" ;" 145,00" ;" " ;" " ;" 145,00" 
" Коньяк" ;" 792" ;" коньяк Ужгород Закарпатский 0.5" ;" 1" ;" 139,00" ;" " ;" " ;" 139,00" 
" Коньяк" ;" 793" ;" коньяк Шустов 3* 0.5" ;" 3" ;" 315,00" ;" " ;" " ;" 315,00" 
" Коньяк" ;" 872" ;" коньяк Шабо 0,25" ;" 2" ;" 111,60" ;" " ;" " ;" 111,60" 
" Коньяк" ;" 873" ;" коньяк Шабо VS 0,5" ;" 7" ;" 758,80" ;" " ;" " ;" 758,80" 
" Коньяк" ;" 874" ;" коньяк Шабо VSOP 0,5" ;" 1" ;" 123,00" ;" " ;" " ;" 123,00" 
" Коньяк" ;" 1238" ;" коньяк сув.Дельфин 0,25" ;" 1" ;" 145,00" ;" " ;" " ;" 145,00" 
" Коньяк" ;" 1270" ;" коньяк Сабля сув.0.5" ;" 1" ;" 185,00" ;" " ;" " ;" 185,00" 
" Коньяк" ;" 1316" ;" коньяк . сув.Укр Лошадь 0.25" ;" 2" ;" 290,00" ;" " ;" " ;" 290,00" 
" Коньяк" ;" 1477" ;" коньяк Оріана 0.5" ;" 2" ;" 424,00" ;" " ;" " ;" 424,00" 
" Коньяк" ;" 1682" ;" коньяк"Черн.Аист"5* 0.5" ;" 1" ;" 187,00" ;" " ;" " ;" 187,00" 
" Коньяк" ;" 1836" ;" коньяк сув.0.25 Шабля" ;" 2" ;" 290,00" ;" " ;" " ;" 290,00" 
" Коньяк" ;" 1965" ;" коньяк АЯКС 0.5 4*" ;" 2" ;" 220,00" ;" " ;" " ;" 220,00" 
" Коньяк" ;" 2150" ;" коньяк Болград 3* 0.25" ;" 4" ;" 236,00" ;" " ;" " ;" 236,00" 
" Коньяк" ;" 2168" ;" коньяк сув."Одеса"0.7" ;" 1" ;" 447,00" ;" " ;" " ;" 447,00" 
" Коньяк" ;" 2473" ;" коньяк 3* 0.25 Ужгород" ;" 14" ;" 879,60" ;" " ;" " ;" 879,60" 
" Коньяк" ;" 2775" ;" коньяк Алекс платин.0.5 тубус" ;" 1" ;" 267,00" ;" " ;" " ;" 267,00" 
" Коньяк" ;" 2803" ;" Бренді Saint Remy(ХО)0.7" ;" 1" ;" 394,00" ;" " ;" " ;" 394,00" 
" Коньяк" ;" 2824" ;" коньяк "Арагвелі"0.5 4*" ;" 1" ;" 181,00" ;" " ;" " ;" 181,00" 
" Коньяк" ;" 3002" ;" коньяк Ужгород 0.25 5*" ;" 1" ;" 72,70" ;" " ;" " ;" 72,70" 
" Коньяк" ;" 3302" ;" коньяк Єріставі 3* 0.5" ;" 2" ;" 392,00" ;" " ;" " ;" 392,00" 
" Коньяк" ;" 3535" ;" коньяк Коблево 3* 0.25" ;" 7" ;" 367,50" ;" " ;" " ;" 367,50" 
" Коньяк" ;" 3537" ;" коньяк Болград 3* 0.5" ;" 12" ;" 1 320,00" ;" " ;" " ;" 1 320,00" 
" Коньяк" ;" 3875" ;" коньяк Борисфен селект 0.5" ;" 1" ;" 110,00" ;" " ;" " ;" 110,00" 
" Коньяк" ;" 4111" ;" коньяк "Дорошенко"5* 0.5" ;" 1" ;" 135,00" ;" " ;" " ;" 135,00" 
" Коньяк" ;" 4156" ;" коньяк Ст.граф 3* 0.2" ;" 2" ;" 90,00" ;" " ;" " ;" 90,00" 
" Коньяк" ;" 4195" ;" коньяк Азнаурі 3* 0.5" ;" 3" ;" 360,00" ;" " ;" " ;" 360,00" 
" Коньяк" ;" 4391" ;" коньяк Хеннесси VS под.наб.+2бок.0.7" ;" 1" ;" 1 105,00" ;" " ;" " ;" 1 105,00" 
" Коньяк" ;" 4520" ;" коньяк сув.Бочонок 5* 05" ;" 1" ;" 196,00" ;" " ;" " ;" 196,00" 
" Коньяк" ;" 4521" ;" коньяк сув. Собака 5* 0.5" ;" 2" ;" 370,00" ;" " ;" " ;" 370,00" 
" Коньяк" ;" 4647" ;" коньяк сув.Півень 0.25" ;" 6" ;" 990,00" ;" " ;" " ;" 990,00" 
" Коньяк" ;" 4654" ;" коньяк Болград(гармата)5* 0.2" ;" 1" ;" 159,00" ;" " ;" " ;" 159,00" 
" Коньяк" ;" 4655" ;" коньяк Болград (кинжал)5* 0.2" ;" 2" ;" 324,00" ;" " ;" " ;" 324,00" 
" Коньяк" ;" 4661" ;" коньяк Шустов 3* 0.25" ;" 1" ;" 52,50" ;" " ;" " ;" 52,50" 
" Коньяк" ;" 4703" ;" коньяк Квинт 10р. 0.5" ;" 1" ;" 315,00" ;" " ;" " ;" 315,00" 
" Коньяк" ;" 4711" ;" коньяк Коктебель 4* 0.25" ;" 2" ;" 118,00" ;" " ;" " ;" 118,00" 
" Коньяк" ;" 4731" ;" коньяк Квинт 6р.0.5" ;" 1" ;" 185,00" ;" " ;" " ;" 185,00" 
" Напитки, соки" ;" 601" ;" САН Нап Pepsi 0,5л 24 шт" ;" 1" ;" 9,30" ;" " ;" " ;" 9,30" 
" Напитки, соки" ;" 602" ;" САН Нап Pepsi 1л 12 шт" ;" 5" ;" 64,70" ;" " ;" " ;" 64,70" 
" Напитки, соки" ;" 603" ;" САН Нап Pepsi 1,5л 6 шт" ;" 5" ;" 79,00" ;" " ;" " ;" 79,00" 
" Напитки, соки" ;" 604" ;" САН Нап Pepsi 2л 6 шт" ;" 4" ;" 82,00" ;" " ;" " ;" 82,00" 
" Напитки, соки" ;" 608" ;" САН Сік Sandora Апельсин 1л 10 шт" ;" 2" ;" 52,40" ;" " ;" " ;" 52,40" 
" Напитки, соки" ;" 611" ;" САН Сік Sandora Банан 1л 10 шт" ;" 6" ;" 145,50" ;" " ;" " ;" 145,50" 
" Напитки, соки" ;" 625" ;" САН Сік Sandora Гранат 1л 10 шт" ;" 1" ;" 24,30" ;" " ;" " ;" 24,30" 
" Напитки, соки" ;" 627" ;" САН Сік Sandora Лимон 1л 10 шт" ;" 1" ;" 24,30" ;" " ;" " ;" 24,30" 
" Напитки, соки" ;" 628" ;" САН Сік Sandora Манго 1л 10 шт" ;" 5" ;" 121,00" ;" " ;" " ;" 121,00" 
" Напитки, соки" ;" 633" ;" САН Сік Sandora Мультивіт 1л 10 шт" ;" 2" ;" 44,40" ;" " ;" " ;" 44,40" 
" Напитки, соки" ;" 636" ;" САН Сік Sandora Овочевий 1л 10 шт" ;" 1" ;" 22,20" ;" " ;" " ;" 22,20" 
" Напитки, соки" ;" 638" ;" САН Сік Sandora Персик 1л 10 шт" ;" 1" ;" 20,50" ;" " ;" " ;" 20,50" 
" Напитки, соки" ;" 641" ;" САН Сік Sandora Сіц Апельсин 1л 10 шт" ;" 1" ;" 22,70" ;" " ;" " ;" 22,70" 
" Напитки, соки" ;" 650" ;" САН Сік Sandora Яблуко 1л 10 шт" ;" 4" ;" 88,80" ;" " ;" " ;" 88,80" 
" Напитки, соки" ;" 713" ;" вода Миргородская 1.5" ;" 3" ;" 24,00" ;" " ;" " ;" 24,00" 
" Напитки, соки" ;" 715" ;" вода боржоми 0.5" ;" 3" ;" 58,20" ;" " ;" " ;" 58,20" 
" Напитки, соки" ;" 718" ;" вода Моршинская негаз 1.5" ;" 20" ;" 188,00" ;" " ;" " ;" 188,00" 
" Напитки, соки" ;" 719" ;" вода Моршинская сильногаз 1.5" ;" 13" ;" 122,20" ;" " ;" " ;" 122,20" 
" Напитки, соки" ;" 720" ;" вода Моршинская сл.газ 1.5" ;" 10" ;" 94,00" ;" " ;" " ;" 94,00" 
" Напитки, соки" ;" 1023" ;" вода Поляна Квасова 1,5" ;" 19" ;" 210,90" ;" " ;" " ;" 210,90" 
" Напитки, соки" ;" 1051" ;" сок Сандорик 0,2 Бан.Ябл.Пол." ;" 1" ;" 6,30" ;" " ;" " ;" 6,30" 
" Напитки, соки" ;" 1314" ;" вода Миргор. Лагидна 1,5не газ." ;" 2" ;" 15,20" ;" " ;" " ;" 15,20" 
" Напитки, соки" ;" 1315" ;" вода Миргор. лагидна 1,5 сл.газ" ;" 1" ;" 7,60" ;" " ;" " ;" 7,60" 
" Напитки, соки" ;" 1549" ;" Мін. вода 0.5 Поляна квас." ;" 1" ;" 12,00" ;" " ;" " ;" 12,00" 
" Напитки, соки" ;" 1945" ;" Сік Журавлина 1л." ;" 1" ;" 22,70" ;" " ;" " ;" 22,70" 
" Напитки, соки" ;" 2382" ;" вода "Боржомі"0.75" ;" 1" ;" 20,40" ;" " ;" " ;" 20,40" 
" Напитки, соки" ;" 2384" ;" Мін.вода 1,5" Лужанська"" ;" 2" ;" 22,20" ;" " ;" " ;" 22,20" 
" Напитки, соки" ;" 2920" ;" Мін.вода "Поляна купель"1.5" ;" 3" ;" 33,30" ;" " ;" " ;" 33,30" 
" Напитки, соки" ;" 3004" ;" нап."Груз.букет"апельсин 0.5" ;" 1" ;" 18,00" ;" " ;" " ;" 18,00" 
" Напитки, соки" ;" 3006" ;" нап."Груз.букет"лимон 0.5" ;" 6" ;" 108,00" ;" " ;" " ;" 108,00" 
" Напитки, соки" ;" 3007" ;" нап."Груз.букет"сітро 0.5" ;" 2" ;" 36,00" ;" " ;" " ;" 36,00" 
" Напитки, соки" ;" 3008" ;" нап."Груз.букет"тархун 0.5" ;" 4" ;" 72,00" ;" " ;" " ;" 72,00" 
" Напитки, соки" ;" 3009" ;" нап."Груз.букет"вершковий 0.5" ;" 4" ;" 72,00" ;" " ;" " ;" 72,00" 
" Напитки, соки" ;" 3248" ;" сік ОКЗДП 0.95(мультифрут)" ;" 3" ;" 52,80" ;" " ;" " ;" 52,80" 
" Напитки, соки" ;" 3252" ;" сік ОКЗДП 0.95(ябл/клуб)" ;" 1" ;" 17,60" ;" " ;" " ;" 17,60" 
" Напитки, соки" ;" 3309" ;" сік ОКЗДХ 0.95(айва)" ;" 2" ;" 35,20" ;" " ;" " ;" 35,20" 
" Напитки, соки" ;" 3311" ;" сік ОКЗДХ 0.95(вишня)" ;" 4" ;" 70,40" ;" " ;" " ;" 70,40" 
" Напитки, соки" ;" 3312" ;" сік ОКЗДХ 0.95(груша)" ;" 2" ;" 35,20" ;" " ;" " ;" 35,20" 
" Напитки, соки" ;" 3776" ;" нап.груз.букет крюшон 0.5" ;" 4" ;" 72,00" ;" " ;" " ;" 72,00" 
" Напитки, соки" ;" 3912" ;" Вода Миргород Лагідна 0.75 сл.газ" ;" 1" ;" 6,90" ;" " ;" " ;" 6,90" 
" Напитки, соки" ;" 4051" ;" сік Садочок(ябл/гранат)0.95" ;" 2" ;" 32,40" ;" " ;" " ;" 32,40" 
" Напитки, соки" ;" 4056" ;" сік Садочок(ябл/полун)1.93" ;" 1" ;" 31,30" ;" " ;" " ;" 31,30" 
" Напитки, соки" ;" 4131" ;" сік Садочок ябл/виногр.1.93" ;" 3" ;" 93,90" ;" " ;" " ;" 93,90" 
" Напитки, соки" ;" 4148" ;" вода Есентуки №17 1.5" ;" 2" ;" 40,00" ;" " ;" " ;" 40,00" 
" Напитки, соки" ;" 4171" ;" сік Садочок мультівіт.1.93" ;" 3" ;" 93,90" ;" " ;" " ;" 93,90" 
" Напитки, соки" ;" 4257" ;" сік Садочок томат 1.93" ;" 1" ;" 31,30" ;" " ;" " ;" 31,30" 
" Напитки, соки" ;" 4258" ;" сік Садочок Ябл/виног.(чер) 1.93" ;" 1" ;" 31,30" ;" " ;" " ;" 31,30" 
" Напитки, соки" ;" 4292" ;" вода Есентуки №4 1.5" ;" 2" ;" 40,00" ;" " ;" " ;" 40,00" 
" Напитки, соки" ;" 4316" ;" Сок Садочок (яблуко)1.93" ;" 2" ;" 62,60" ;" " ;" " ;" 62,60" 
" Напитки, соки" ;" 4317" ;" сокСадочок(Мультифрут)1.93" ;" 2" ;" 62,60" ;" " ;" " ;" 62,60" 
" Напитки, соки" ;" 4501" ;" вода Міргород лагідна не газ 0.75" ;" 1" ;" 7,00" ;" " ;" " ;" 7,00" 
" Напитки, соки" ;" 4559" ;" вода АХЛАДА не газ.1.5" ;" 2" ;" 9,00" ;" " ;" " ;" 9,00" 
" Напитки, соки" ;" 4565" ;" сок Садочок 0.95(ябл/виног)" ;" 1" ;" 16,20" ;" " ;" " ;" 16,20" 
" Напитки, соки" ;" 4617" ;" сік Садочок(мультівітамін)0.95" ;" 2" ;" 32,40" ;" " ;" " ;" 32,40" 
" Напитки, соки" ;" 4625" ;" лікер CAROLANS 0.7+2ст" ;" 1" ;" 411,00" ;" " ;" " ;" 411,00" 
" Напитки, соки" ;" 4712" ;" Бальзам Грін Хілз 0.5" ;" 2" ;" 164,00" ;" " ;" " ;" 164,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 1111" ;" вермут Маренго бел.0,5" ;" 2" ;" 67,20" ;" " ;" " ;" 67,20" 
" Прочие алк.товары (ром, текила и пр.)" ;" 1140" ;" вермут Маренго 1л" ;" 1" ;" 67,20" ;" " ;" " ;" 67,20" 
" Прочие алк.товары (ром, текила и пр.)" ;" 1475" ;" Сув. набор Маренго 2*0.5" ;" 1" ;" 168,00" ;" " ;" " ;" 168,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 2453" ;" Лікер "Fraqelico"0.7" ;" 1" ;" 329,00" ;" " ;" " ;" 329,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 2778" ;" настойка 0.5Абрикос вермут Люботин" ;" 2" ;" 50,00" ;" " ;" " ;" 50,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 2779" ;" настойка 0.5 Апельсин вермут Люботин" ;" 1" ;" 25,00" ;" " ;" " ;" 25,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 2780" ;" настойка 0.5 Малина вермут Люботин" ;" 1" ;" 25,00" ;" " ;" " ;" 25,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 2781" ;" настойка 0.5 Смородина вермут Люботин" ;" 4" ;" 100,00" ;" " ;" " ;" 100,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3067" ;" вермут Люботин (вишня)0.5" ;" 1" ;" 25,00" ;" " ;" " ;" 25,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3068" ;" вермут Люботин (журавлина)0.5" ;" 4" ;" 100,00" ;" " ;" " ;" 100,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3071" ;" вермут Люботин(горобина)0.5" ;" 4" ;" 100,00" ;" " ;" " ;" 100,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3072" ;" вермут Люботин(слива)0.5" ;" 2" ;" 50,00" ;" " ;" " ;" 50,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3177" ;" напій винний  Наомі гранат 0.75" ;" 1" ;" 50,50" ;" " ;" " ;" 50,50" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3221" ;" настойка 0.5 Люботин (ананас)" ;" 3" ;" 75,00" ;" " ;" " ;" 75,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3273" ;" Настойка Абсент Вінсент 0.7" ;" 1" ;" 290,00" ;" " ;" " ;" 290,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3512" ;" настоянка 0.25 Зе Хайленд Фокс" ;" 1" ;" 34,00" ;" " ;" " ;" 34,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3587" ;" напій Плодово/ягодн.Стигла горобина 0.5" ;" 3" ;" 87,00" ;" " ;" " ;" 87,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 3911" ;" Бренди Факонье Наполеон VSOP 0.7" ;" 1" ;" 336,00" ;" " ;" " ;" 336,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4000" ;" напій Кенді Умешу біле 0.375" ;" 4" ;" 137,60" ;" " ;" " ;" 137,60" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4001" ;" напій Кенді Умешу рожеве 0.375" ;" 3" ;" 103,20" ;" " ;" " ;" 103,20" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4095" ;" Ром Viejo Corsario Blanco  0.7" ;" 1" ;" 197,00" ;" " ;" " ;" 197,00" 
