" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Вино игристое" ;" 61" ;" "SOLOKING"1.5л.рожеве брют" ;" 7" ;" 2 478,00" ;" " ;" " ;" 2 478,00" 
" Вино игристое" ;" 1910" ;" "CHARTE"вино біле н/сол. 0.75" ;" 2" ;" 171,00" ;" 12" ;" 5 724,00" ;" 5 895,00" 
" Вино игристое" ;" 1911" ;" "CHARTE" вино рожеве н/сол. 0.75" ;" 3" ;" 256,50" ;" 21" ;" 10 017,00" ;" 10 273,50" 
" Вино игристое" ;" 1912" ;" "CHARTE" вино мускатне н/сол. 0.75" ;" 2" ;" 171,00" ;" 8" ;" 3 816,00" ;" 3 987,00" 
" Вино игристое" ;" 1913" ;" "CHARTE"вино червоне н/сол. 0.75" ;" 13" ;" 1 111,50" ;" 3" ;" 1 431,00" ;" 2 542,50" 
" Вино игристое" ;" 1914" ;" "CHARTE"вино рож.муск. н/сол. 0.75" ;" 1" ;" 85,50" ;" 10" ;" 4 770,00" ;" 4 855,50" 
" Вино игристое" ;" 2171" ;" "SOLOKING" 0.75чер.в сув.кор." ;" 4" ;" 1 200,00" ;" " ;" " ;" 1 200,00" 
" Вино игристое" ;" 2172" ;" "SOLOKING"0.75 рож.н/сух.в сув. кор." ;" 13" ;" 3 900,00" ;" " ;" " ;" 3 900,00" 
" Вино игристое" ;" 2174" ;" "SOLOKING" 0.75біле брют в сув.кор." ;" 18" ;" 5 400,00" ;" " ;" " ;" 5 400,00" 
" Вино игристое" ;" 2540" ;" "CHARTE"напій вин.рож.полуниця 0.75" ;" 12" ;" 846,00" ;" 26" ;" 10 296,00" ;" 11 142,00" 
" Вино игристое" ;" 2541" ;" "CHARTE"напій вин.абрикос 0.75" ;" 16" ;" 1 128,00" ;" 16" ;" 6 336,00" ;" 7 464,00" 
" Вино игристое" ;" 2542" ;" "CHARTE"напій вин.яблуко 0.75" ;" 25" ;" 1 762,50" ;" 3" ;" 1 188,00" ;" 2 950,50" 
" Вино игристое" ;" 2710" ;" "CHARTE"напій вин.чор.смородина рож.0.75" ;" 7" ;" 493,50" ;" 23" ;" 9 108,00" ;" 9 601,50" 
" Вино игристое" ;" 4067" ;" "CHARTE" напій винний слабоал.рож.(полуниця)0.2" ;" 14" ;" 420,00" ;" 1" ;" 672,00" ;" 1 092,00" 
" Вино - Грузия - Белое п/слад" ;" 1030" ;" вино Алаз. долина бел. 0.75 KV" ;" 1" ;" 140,00" ;" " ;" " ;" 140,00" 
" Вино - Грузия - Белое п/слад" ;" 3558" ;" ТВ вино Твіши 0.75" ;" 1" ;" 228,00" ;" " ;" " ;" 228,00" 
" Вино - Грузия - Белое п/слад" ;" 4651" ;" вино ГУРДЖИ Алаз.дол.біле 0.75" ;" 1" ;" 97,00" ;" " ;" " ;" 97,00" 
